MFR CAT,Feb-22,Apr-22,Jul-22,Sep-22,Oct-22,Feb-23,Mar-23,Apr-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Cost_02/2022,Cost_04/2022,Cost_07/2022,Cost_09/2022,Cost_10/2022,Cost_02/2023,Cost_03/2023,Cost_04/2023,Cost_08/2023,Cost_09/2023,Cost_10/2023,Cost_11/2023,Cost_12/2023,Cost_01/2024,Cost_02/2024,Cost_03/2024,Cost_04/2024,Cost_05/2024,Cost_06/2024,Cost_07/2024,Cost_08/2024,Cost_09/2024,Cost_10/2024,Cost_11/2024,Cost_12/2024,AVG_QTY_RECEIVED_PER_MONTH,AVG_COST_PER_MONTH,TOTAL_QTY_RECEIVED_PER_YEAR,TOTAL_COST_PER_YEAR
640CR1630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226.11,0,0,0,0,0,0,0,0,0,0,0.04,49.044399999999996,1,1226.11
640CX0201,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3678.33,0,2667.04,0,2667.04,0,0,0,0,0,0,0,0.28,360.4964,7,9012.41
640CX0202,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2452.22,4000.56,0,0,1333.52,0,1333.52,0,0,0,0,0,0.28,364.7928,7,9119.82
640CX0306,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1333.52,0,0,1333.52,2667.04,0,0,9334.64,0,0,1333.52,0,0,0.48,640.0896,12,16002.24
640CX0308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1333.52,6667.6,1333.52,0,0,13335.2,0,0,1333.52,0,0,0.72,960.1344000000001,18,24003.36
640CX0410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8001.120000000001,1333.52,0,0,6667.6,0,0,4000.56,0,0,0.6,800.1120000000001,15,20002.800000000003
640CX2505,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2667.04,1333.52,0,1333.52,2667.04,0,1333.52,0,0,6667.6,0,0,0.48,640.0896,12,16002.24
640CX3505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226.11,0,0,0,0,0,0.04,49.044399999999996,1,1226.11
640CX3509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3678.33,1333.52,1333.52,0,4000.56,0,0,1333.52,0,0,0.36,467.17800000000005,9,11679.45
659190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794,0,0,0,0,0.08,31.76,2,794
670-256-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4092.4,0,0,0,0,0,314.8,0,0,0,0.56,176.28799999999998,14,4407.2
670-256-90B,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,0,1,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,314.8,1259.2,314.8,314.8,314.8,0,314.8,314.8,314.8,314.8,944.4000000000001,944.4000000000001,0.72,226.65600000000006,18,5666.4
670-258-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603.6800000000001,314.8,944.4000000000001,314.8,944.4,0,629.6,0.48,150.0672,12,3751.6800000000003
670-258-90B,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,314.8,0,0,0,0,629.6,0,314.8,0,0,0,0,0,0,314.8,0.2,62.96,5,1574
67025600B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629.6,0,0,0,0,0.08,25.184,2,629.6
67025800B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.88,0,0,0,314.8,944.4000000000001,314.8,0.24,74.51520000000001,6,1862.88
67026000B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1733.28,0,0,0.24,69.3312,6,1733.28
67026090,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,3,2,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1574,0,314.8,0,0,944.4000000000001,629.6,0,0,0,1574,0,944.4000000000001,0.76,239.24799999999996,19,5981.2
67026090B,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,629.6,0,0,629.6,0,0,314.8,0,314.8,0,0,629.6,0.32,100.736,8,2518.4
7110-0102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2875,0,0,0,0,0,0,0,0,0.04,115,1,2875
7110-0204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2875,0,0,0,0,0,0,0,0,0.04,115,1,2875
7110-0410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2875,0,0,0,0,0,0,0,0,0.04,115,1,2875
7110-0715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2875,0,0,0,0,0,0,0,0,0.04,115,1,2875
7110-0817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2875,0,0,0,0,0,0,0,0,0.04,115,1,2875
77826090,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.92,0,0,0,0,0,0,0,0,0,0,0,0.04,13.116800000000001,1,327.92
80-1050,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,42,0,0,0,0,16,7,24,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3630,3630,11797.5,0,0,0,0,4840,2117.5,7260,3630,2420,5.32,1573,133,39325
80-1060,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,0,0,0,4,4,0,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1210,907.5,2722.5,0,0,0,1210,1210,0,1815,1210,1210,1.56,459.8,39,11495
